,House Cost,Income,State_Minimum_Wage,Multiplied_Income,Multiplied_Wage,Income_Percentage,Minimum_Wage_Yearly,clusters,cluster
0,137250.036361,44480.0,5.85,3.085657292288669,11.279588787064432,32.40800598624768,12168.0,0,pink
1,114877.18181166668,39590.0,6.25,2.901671680011788,8.836706293205129,34.46289278309866,13000.0,0,pink
2,201922.8181714285,46910.0,6.9,4.304472781313761,14.069315647396078,23.231648817507256,14352.0,2,dark purple
3,336043.1818111111,57010.0,8.0,5.894460301896354,20.19490275307158,16.965081598365877,16640.0,1,purple
4,230399.3522875,60940.0,7.02,3.780757339801444,15.779048343161024,26.449727134630585,14601.6,2,dark purple
5,269690.0,64680.0,7.65,4.169604205318491,16.94884364002011,23.983091697875334,15912.0,2,dark purple
6,210382.95455,50700.0,7.15,4.149565178500986,14.146244926707908,24.098910536000933,14872.0,2,dark purple
7,191100.05928260868,44860.0,6.79,4.259921071837019,13.530932032585298,23.47461333523644,14123.2,2,dark purple
8,135955.6039035714,46230.0,5.15,2.9408523448750032,12.691897302424517,34.00374730620838,10712.0,0,pink
9,395057.27273333335,61520.0,7.25,6.421607164065887,26.197431878868255,15.57242563194792,15080.0,1,purple
10,133111.36364999998,50140.0,7.25,2.6547938502193853,8.82701350464191,37.66770816940692,15080.0,0,pink
11,155434.90906666665,47420.0,5.85,3.277834438352312,12.774072079772075,30.507947207445767,12168.0,0,pink
12,109965.42207928572,53250.0,7.75,2.0650783489067743,6.821676307647998,48.42431283681741,16120.0,0,pink
13,105640.19835,46520.0,5.85,2.2708555105331043,8.681804598126233,44.03626718483911,12168.0,0,pink
14,116103.0,47880.0,2.65,2.424874686716792,21.06367924528302,41.23924446396734,5512.0,0,pink
15,121147.94805,41150.0,5.85,2.9440570607533414,9.956274494575938,33.96673295945271,12168.0,0,pink
16,134191.431825,39560.0,5.85,3.39209888334176,11.028224180226823,29.4802726686682,12168.0,0,pink
17,253549.27274,60320.0,8.0,4.203403062665783,15.23733610216346,23.790247689589965,16640.0,2,dark purple
18,196141.4545375,63710.0,6.15,3.078660407118192,15.333134344707627,32.48165980528067,12792.0,2,dark purple
19,161086.03033333333,47230.0,7.0,3.410671825816924,11.063600984432234,29.319736728422413,14560.0,0,pink
20,116241.72158875,49790.0,7.15,2.334639919436634,7.8161458841278915,42.8331577677001,14872.0,0,pink
21,150778.67534285714,54930.0,5.25,2.744924000416114,13.807571002093145,36.43088114091341,10920.0,0,pink
22,121736.62337111113,46040.0,6.65,2.6441490740901634,8.801086131514685,37.8193502703358,13832.0,0,pink
23,129805.2273,36450.0,5.85,3.5611859341563785,10.667753722879684,28.08053324059007,12168.0,0,pink
24,196231.52275,42900.0,4.0,4.574161369463869,23.58551956129808,21.861930947075628,8320.0,2,dark purple
25,162501.8181665,42930.0,6.15,3.785274124539949,12.703394165611318,26.418165953081065,12792.0,0,pink
26,142256.63635000002,49630.0,5.85,2.866343670159178,11.691045064924394,34.88765183361514,12168.0,0,pink
27,129142.04545,50730.0,5.85,2.5456740676128526,10.613251598454964,39.28232654456535,12168.0,0,pink
28,214881.81816666664,66180.0,6.5,3.2469298604815147,15.89362560404339,30.79832466266153,13520.0,2,dark purple
29,253393.1818,65310.0,7.15,3.879852730056653,17.038272041420118,25.77417416524978,14872.0,2,dark purple
30,183217.8182,42100.0,6.5,4.351967178147269,13.55161377218935,22.978114472492937,13520.0,0,pink
31,253648.4091,54740.0,6.33,4.633693991596639,19.26482630787459,21.58105394558929,13166.4,2,dark purple
32,140712.36364642857,50460.0,7.15,2.788592224463507,9.461562913288637,35.86038830730758,14872.0,0,pink
33,105116.91735545456,46930.0,7.0,2.239866127326967,7.219568499687813,44.64552536420513,14560.0,0,pink
34,100026.81818,46110.0,2.0,2.1693085703751898,24.044908216346155,46.09763745261221,4160.0,0,pink
35,223785.2121333333,51730.0,7.95,4.326023818545009,13.533213118851796,23.11591525948497,16536.0,2,dark purple
36,140053.10100722223,51400.0,7.15,2.7247685020860355,9.41723379553673,36.700365525893936,14872.0,0,pink
37,239126.1818,53240.0,7.4,4.491475991735537,15.53574465956341,22.26439597673533,15392.0,2,dark purple
38,161191.02727,42160.0,5.85,3.823316586100569,13.247125844017091,26.15530201279795,12168.0,0,pink
39,129680.5455,51600.0,5.85,2.51318886627907,10.657507026627218,39.79008555296369,12168.0,0,pink
40,113160.494320625,39700.0,5.85,2.8503902851542824,9.299843385981674,35.08291496811193,12168.0,0,pink
41,130594.64334846154,46490.0,5.85,2.8090910593345138,10.732630123969557,35.59870359762935,12168.0,0,pink
42,237227.2727333333,62540.0,5.85,3.793208710158831,19.49599545803199,26.362904770355428,12168.0,2,dark purple
43,212142.2841,61990.0,5.85,3.4222017115663816,17.43444149408284,29.22095435287152,12168.0,2,dark purple
44,218314.5757555556,56630.0,8.07,3.855104639865012,13.006063277783074,25.939633120698264,16785.600000000002,2,dark purple
45,143507.16042352942,51200.0,6.5,2.802874227022059,10.614434942568744,35.677662249670746,13520.0,0,pink
46,94840.81818,37990.0,6.55,2.496467969992103,6.961304916324134,40.05659243459724,13624.0,0,pink
47,169667.45455,53340.0,5.15,3.180867164416948,15.839008079723676,31.43796796001381,10712.0,0,pink
48,137360.766667,39980.0,6.55,3.435737035192596,10.082264141735171,29.10583638261312,13624.0,0,pink
49,116049.72222666668,36540.0,6.25,3.17596393614304,8.926901709743591,31.486503628703726,13000.0,0,pink
50,180134.9642714286,45740.0,7.25,3.938237085077144,11.945289407919669,25.39207209716302,15080.0,0,pink
