,Year,State,State_Minimum_Wage
231,1994,SD,4.25
232,1994,TN,4.25
233,1994,TX,3.35
234,1994,UT,4.25
235,1994,VA,4.25
236,1994,WA,4.25
237,1994,WI,4.25
238,1994,WV,4.25
239,1994,WY,1.6
240,1995,AL,4.25
241,1995,AR,4.25
242,1995,AZ,4.25
243,1995,CA,4.25
244,1995,CO,3.0
245,1995,CT,4.27
246,1995,DE,4.25
247,1995,FL,4.25
248,1995,GA,3.25
249,1995,HI,5.25
250,1995,IA,4.65
251,1995,ID,4.25
252,1995,IL,4.25
253,1995,IN,3.35
254,1995,KS,2.65
255,1995,KY,4.25
256,1995,LA,4.25
257,1995,MA,4.25
258,1995,MD,4.25
259,1995,ME,4.25
260,1995,MI,3.35
261,1995,MN,4.25
262,1995,MO,4.25
263,1995,MS,4.25
264,1995,MT,4.25
265,1995,NC,4.25
266,1995,ND,4.25
267,1995,NE,4.25
268,1995,NH,4.25
269,1995,NJ,5.05
270,1995,NM,4.25
271,1995,NV,4.25
272,1995,NY,4.25
273,1995,OH,4.25
274,1995,OK,4.25
275,1995,OR,4.75
276,1995,PA,4.25
277,1995,RI,4.45
278,1995,SC,4.25
279,1995,SD,4.25
280,1995,TN,4.25
281,1995,TX,3.35
282,1995,UT,4.25
283,1995,VA,4.25
284,1995,WA,4.25
285,1995,WI,4.25
286,1995,WV,4.25
287,1995,WY,1.6
288,1996,AL,4.25
289,1996,AR,4.25
290,1996,AZ,4.25
291,1996,CA,4.25
292,1996,CO,3.0
293,1996,CT,4.27
294,1996,DE,4.65
295,1996,FL,4.25
296,1996,GA,3.25
297,1996,HI,5.25
298,1996,IA,4.65
299,1996,ID,4.25
300,1996,IL,4.25
301,1996,IN,3.35
302,1996,KS,2.65
303,1996,KY,4.25
304,1996,LA,4.25
305,1996,MA,4.75
306,1996,MD,4.25
307,1996,ME,4.25
308,1996,MI,3.35
309,1996,MN,4.25
310,1996,MO,4.25
311,1996,MS,4.25
312,1996,MT,4.25
313,1996,NC,4.25
314,1996,ND,4.25
315,1996,NE,4.25
316,1996,NH,4.25
317,1996,NJ,5.05
318,1996,NM,4.25
319,1996,NV,4.25
320,1996,NY,4.25
321,1996,OH,4.25
322,1996,OK,4.25
323,1996,OR,4.75
324,1996,PA,4.25
325,1996,RI,4.45
326,1996,SC,4.25
327,1996,SD,4.25
328,1996,TN,4.25
329,1996,TX,3.35
330,1996,UT,4.25
331,1996,VA,4.25
332,1996,WA,4.9
333,1996,WI,4.25
334,1996,WV,4.25
335,1996,WY,1.6
336,1997,AL,4.75
337,1997,AR,4.25
338,1997,AZ,4.75
339,1997,CA,4.75
340,1997,CO,4.75
341,1997,CT,4.77
342,1997,DE,5.0
343,1997,FL,4.75
344,1997,GA,3.25
345,1997,HI,5.25
346,1997,IA,4.75
347,1997,ID,4.25
348,1997,IL,4.75
349,1997,IN,3.35
350,1997,KS,2.65
351,1997,KY,4.25
352,1997,LA,4.75
353,1997,MA,5.25
354,1997,MD,4.75
355,1997,ME,4.75
356,1997,MI,3.35
357,1997,MN,4.25
358,1997,MO,4.75
359,1997,MS,4.75
360,1997,MT,4.75
361,1997,NC,4.25
362,1997,ND,4.75
363,1997,NE,4.25
364,1997,NH,4.75
365,1997,NJ,5.05
366,1997,NM,4.25
367,1997,NV,4.75
368,1997,NY,4.25
369,1997,OH,4.25
370,1997,OK,4.75
371,1997,OR,5.5
372,1997,PA,4.75
373,1997,RI,5.15
374,1997,SC,4.75
375,1997,SD,4.25
376,1997,TN,4.75
377,1997,TX,3.35
378,1997,UT,4.75
379,1997,VA,4.75
380,1997,WA,4.9
381,1997,WI,4.75
382,1997,WV,4.25
383,1997,WY,1.6
384,1998,AL,5.15
385,1998,AR,5.15
386,1998,AZ,5.15
387,1998,CA,5.15
388,1998,CO,5.15
389,1998,CT,5.18
390,1998,DE,5.15
391,1998,FL,5.15
392,1998,GA,3.25
393,1998,HI,5.25
394,1998,IA,5.15
395,1998,ID,5.15
396,1998,IL,5.15
397,1998,IN,3.35
398,1998,KS,2.65
399,1998,KY,4.25
400,1998,LA,5.15
401,1998,MA,5.25
402,1998,MD,5.15
403,1998,ME,5.15
404,1998,MI,5.15
405,1998,MN,5.15
406,1998,MO,5.15
407,1998,MS,5.15
408,1998,MT,5.15
409,1998,NC,5.15
410,1998,ND,5.15
411,1998,NE,5.15
412,1998,NH,5.15
413,1998,NJ,5.05
414,1998,NM,4.25
415,1998,NV,5.15
416,1998,NY,4.25
417,1998,OH,4.25
418,1998,OK,5.15
419,1998,OR,6.0
420,1998,PA,5.15
421,1998,RI,5.15
422,1998,SC,5.15
423,1998,SD,5.15
424,1998,TN,5.15
425,1998,TX,3.35
426,1998,UT,5.15
427,1998,VA,5.15
428,1998,WA,4.9
429,1998,WI,5.15
430,1998,WV,4.75
431,1998,WY,1.6
432,1999,AL,5.15
433,1999,AR,5.15
434,1999,AZ,5.15
435,1999,CA,5.15
436,1999,CO,5.15
437,1999,CT,5.18
438,1999,DE,5.15
439,1999,FL,5.15
440,1999,GA,3.25
441,1999,HI,5.25
442,1999,IA,5.15
443,1999,ID,5.15
444,1999,IL,5.15
445,1999,IN,3.35
446,1999,KS,2.65
447,1999,KY,4.25
448,1999,LA,5.15
449,1999,MA,5.25
450,1999,MD,5.15
451,1999,ME,5.15
452,1999,MI,5.15
453,1999,MN,5.15
454,1999,MO,5.15
