,Year,State,Income
214,2012,MO,49760.0
215,2012,MS,36640.0
216,2012,MT,45090.0
217,2012,NC,41550.0
218,2012,ND,55770.0
219,2012,NE,52200.0
220,2012,NH,67820.0
221,2012,NJ,66690.0
222,2012,NM,43420.0
223,2012,NV,47330.0
224,2012,NY,47680.0
225,2012,OH,44380.0
226,2012,OK,48410.0
227,2012,OR,51780.0
228,2012,PA,51900.0
229,2012,RI,56070.0
230,2012,SC,44400.0
231,2012,SD,49420.0
232,2012,TN,43000.0
233,2012,TX,51930.0
234,2012,UT,58340.0
235,2012,VA,64630.0
236,2012,WA,62190.0
237,2012,WI,53080.0
238,2012,WV,43550.0
239,2012,WY,57510.0
240,2013,AL,47320.0
241,2013,AR,39380.0
242,2013,AZ,52610.0
243,2013,CA,60790.0
244,2013,CO,67910.0
245,2013,CT,69290.0
246,2013,DE,54090.0
247,2013,FL,48530.0
248,2013,GA,46990.0
249,2013,HI,64240.0
250,2013,IA,60160.0
251,2013,ID,48470.0
252,2013,IL,53940.0
253,2013,IN,49460.0
254,2013,KS,47820.0
255,2013,KY,44880.0
256,2013,LA,46430.0
257,2013,MA,62530.0
258,2013,MD,69350.0
259,2013,ME,54960.0
260,2013,MI,56570.0
261,2013,MN,64320.0
262,2013,MO,46300.0
263,2013,MS,32340.0
264,2013,MT,43200.0
265,2013,NC,46340.0
266,2013,ND,59150.0
267,2013,NE,57620.0
268,2013,NH,69100.0
269,2013,NJ,63750.0
270,2013,NM,40170.0
271,2013,NV,51850.0
272,2013,NY,49970.0
273,2013,OH,50750.0
274,2013,OK,46160.0
275,2013,OR,49000.0
276,2013,PA,55160.0
277,2013,RI,56320.0
278,2013,SC,43560.0
279,2013,SD,53410.0
280,2013,TN,43360.0
281,2013,TX,51410.0
282,2013,UT,61050.0
283,2013,VA,65910.0
284,2013,WA,63920.0
285,2013,WI,51730.0
286,2013,WV,43070.0
287,2013,WY,67440.0
288,2014,AL,42280.0
289,2014,AR,44920.0
290,2014,AZ,49250.0
291,2014,CA,60490.0
292,2014,CO,60940.0
